title,publisher
title,publisher
辐射4,辐射4
年度版,年度版
Fallout,Fallout
4,4
Game,Game
of,of
the,the
Year,Year
Edition,Edition/
/volume4/RDM_12T/02.Games/PS4/GOW4,/volume4/RDM_12T/02.Games/PS4/GOW4/
/volume4/RDM_12T/02.Games/PS4/GT,/volume4/RDM_12T/02.Games/PS4/GT
SPORT,SPORT/
/volume4/RDM_12T/02.Games/PS4/HACKyu0301,/volume4/RDM_12T/02.Games/PS4/HACKyu0301/
/volume4/RDM_12T/02.Games/PS4/KH3,/volume4/RDM_12T/02.Games/PS4/KH3/
/volume4/RDM_12T/02.Games/PS4/Mafia,/volume4/RDM_12T/02.Games/PS4/Mafia
Definitive,Definitive
Edition,Edition/
/volume4/RDM_12T/02.Games/PS4/Marvel's,/volume4/RDM_12T/02.Games/PS4/Marvel's
漫威复仇者,Avengers-漫威复仇者/
/volume4/RDM_12T/02.Games/PS4/Marvel's,/volume4/RDM_12T/02.Games/PS4/Marvel's
Man,Spider-Man
Miles,Miles
Morales,Morales/
/volume4/RDM_12T/02.Games/PS4/Nioh2,/volume4/RDM_12T/02.Games/PS4/Nioh2/
/volume4/RDM_12T/02.Games/PS4/P5S,/volume4/RDM_12T/02.Games/PS4/P5S/
/volume4/RDM_12T/02.Games/PS4/Persona,/volume4/RDM_12T/02.Games/PS4/Persona
5,5
The,The
Royal,Royal
GAMEKEGS,-GAMEKEGS/
/volume4/RDM_12T/02.Games/PS4/RD2,/volume4/RDM_12T/02.Games/PS4/RD2/
/volume4/RDM_12T/02.Games/PS4/temp,/volume4/RDM_12T/02.Games/PS4/temp/
/volume4/RDM_12T/02.Games/PS4/The,/volume4/RDM_12T/02.Games/PS4/The
Last,Last
of,of
Us,Us
Part,Part
最后的生还者2,II-最后的生还者2/
/volume4/RDM_12T/02.Games/PS4/YS9,/volume4/RDM_12T/02.Games/PS4/YS9/
/volume4/RDM_12T/02.Games/PS4/中文版,/volume4/RDM_12T/02.Games/PS4/中文版
里普特拉西尔,奥丁领域-里普特拉西尔/
/volume4/RDM_12T/02.Games/PS4/二之国,/volume4/RDM_12T/02.Games/PS4/二之国/
/volume4/RDM_12T/02.Games/PS4/侠盗猎车手5港版中文v1.25,/volume4/RDM_12T/02.Games/PS4/侠盗猎车手5港版中文v1.25
5.05,5.05/
/volume4/RDM_12T/02.Games/PS4/僵尸世界大战1.21,/volume4/RDM_12T/02.Games/PS4/僵尸世界大战1.21/
/volume4/RDM_12T/02.Games/PS4/凯娜：精神之桥,/volume4/RDM_12T/02.Games/PS4/凯娜：精神之桥/
/volume4/RDM_12T/02.Games/PS4/凯瑟琳,/volume4/RDM_12T/02.Games/PS4/凯瑟琳
FULLBODY,FULLBODY/
奥德赛,/volume4/RDM_12T/02.Games/PS4/刺客信条-奥德赛/
/volume4/RDM_12T/02.Games/PS4/刺客信条,/volume4/RDM_12T/02.Games/PS4/刺客信条
枭雄,枭雄/
